N,Serial_Mean,Serial_Std,SIMD_Mean,SIMD_Std,Speedup_Mean
32000,0.5931188,0.005188351506981767,0.3860262,0.003111330737803363,1.5364729129784453
64000,2.3852725999999995,0.019865086645670563,1.572426,0.00935839481962589,1.5169379035960988
96000,5.335508800000001,0.005766640803795616,3.5152966,0.013964682317904696,1.5177976162808
128000,9.482085000000001,0.010556223264027985,6.2390398,0.01599993605487227,1.519798767752692
