N,Serial Time (s),Parallel Time (s),Speedup
10000000,0.06204975,0.026635000000000002,2.3296320630749014
50000000,0.30672699999999997,0.09706524999999999,3.1600083449020118
100000000,0.6119829999999999,0.19222625,3.1836598799591624
