Size,Threads,Avg Serial,Avg Parallel,Speedup
10000000,1,0.55680375,0.8071182499999999,0.689866385749548
10000000,2,0.55680375,0.43389025,1.2832824660153117
10000000,4,0.55680375,0.33374925,1.6683295917518917
10000000,8,0.55680375,0.2533355,2.1978907417239197
50000000,1,2.8865335,4.25991925,0.6776028677069407
50000000,2,2.8865335,2.3108585,1.249117373478298
50000000,4,2.8865335,1.72186925,1.6763952895958856
50000000,8,2.8865335,1.34155775,2.151628209818027
